model,seed,heldout_scale,epoch,train_loss,val_accuracy,lr
TemporalResNet18Small,42,8.0,19,0.02922315279069795,0.9761904761904762,0.00020521868290270169
TemporalResNet18Small,42,12.0,1,0.894950823748813,0.1984126984126984,0.0002997040092642407
TemporalResNet18Small,42,12.0,2,0.2778676058001378,0.91005291005291,0.0002988172051971717
TemporalResNet18Small,42,12.0,3,0.22975684658569448,0.9497354497354498,0.0002973430876093033
TemporalResNet18Small,42,12.0,4,0.1610498839222333,0.9523809523809523,0.00029528747416929463
TemporalResNet18Small,42,12.0,5,0.10890650245196679,0.9444444444444444,0.00029265847744427303
TemporalResNet18Small,42,12.0,6,0.08351368292727891,0.9788359788359788,0.0002894664728832377
TemporalResNet18Small,42,12.0,7,0.07766922333222978,0.9682539682539683,0.000285724057869903
TemporalResNet18Small,42,12.0,8,0.06182668833335971,0.9708994708994709,0.00028144600200657956
TemporalResNet18Small,42,12.0,9,0.05237882165238261,0.9735449735449735,0.0002766491888253023
TemporalResNet18Small,42,12.0,10,0.051351899311959964,0.9761904761904762,0.00027135254915624217
TemporalResNet18Small,42,12.0,11,0.0502561581430628,0.9708994708994709,0.0002655769864163684
TemporalResNet18Small,42,12.0,12,0.052107250965063405,0.9735449735449735,0.0002593452941132117
TemporalResNet18Small,42,12.0,13,0.038672124713604504,0.9682539682539683,0.0002526820658893033
TemporalResNet18Small,42,12.0,14,0.034723903364091015,0.9708994708994709,0.0002456135984623034
TemporalResNet18Small,42,12.0,15,0.045477433318463975,0.9735449735449735,0.00023816778784387096
TemporalResNet18Small,42,12.0,16,0.03501788377145525,0.9682539682539683,0.00023037401924684944
TemporalResNet18Small,42,16.0,1,0.9044344219214776,0.3201058201058201,0.0002997040092642407
TemporalResNet18Small,42,16.0,2,0.26668665755320997,0.9338624338624338,0.0002988172051971717
TemporalResNet18Small,42,16.0,3,0.20430960265152595,0.8941798941798942,0.0002973430876093033
TemporalResNet18Small,42,16.0,4,0.15408379924209678,0.9523809523809523,0.00029528747416929463
TemporalResNet18Small,42,16.0,5,0.10960136847022701,0.9629629629629629,0.00029265847744427303
TemporalResNet18Small,42,16.0,6,0.10240171104669571,0.9788359788359788,0.0002894664728832377
